"vmPFC_VD_signal_amplification_by_controllability","tau"
0.2847,0.634003232
0.2143,0.954329479
0.454,0.114971274
0.176,0.13337871
0.6931,1.911237509
0.0284,1.094311404
0.2038,-1.664366384
0.4299,0.044633413
0.5513,1.127108422
1.6,1.338639383
1.5222,1.264780313
1.5255,1.858355876
0.2398,1.275637748
0.3749,0.733817667
0.5882,1.026143793
0.1372,0.587140155
0.6666,-0.468990128
0.5599,1.257541405
0.2647,0.080090333
0.4776,0.293052613
0.7256,0.745381766
0.2411,1.001288983
1.3219,1.220652005
0.1532,-1.473826148
1.231,1.464521825
-0.1555,0.836288207
-0.0617,1.520134795
-0.149,0.204634213
0.5214,2.261178143
0.3439,1.169476675
