"bias_pos","illusion_of_control"
1.014176121,0.5
0.012338044,0.523809524
-0.112895263,0.428571429
0.573124402,0.3
0.167356425,0.210526316
0.052552549,0.7
-0.215274596,0.285714286
0.604786363,0.631578947
0.228595289,0.55
0.1344926,0.428571429
0.027581837,0.619047619
0.205603048,0.5
0.302254609,0.45
0.1711595,0.421052632
0.103104963,0.45
0.262899252,0.380952381
-1.039140637,0.4
-0.040713963,0.380952381
0.153648867,0.368421053
-0.757284097,0.333333333
0.324253109,0.714285714
-0.017201105,0.35
1.195583205,0.571428571
1.383115382,0.5
0.579094464,0.714285714
-0.066187134,0.5
0.382015616,0.666666667
0.272722167,0.65
0.193986371,0.3
0.706303655,0.476190476
0.003971191,0.3
-1.165324972,0.5
-0.088845274,0.421052632
-0.012072213,0.428571429
0.995061598,0.45
0.086972365,0.55
-0.01348916,0.3
-0.079897922,0.333333333
0.313104106,0.5
-0.230874924,0.285714286
0.72446601,0.571428571
-0.101693384,0.4
0.210063033,0.523809524
0.844569416,0.476190476
0.174587747,0.25
0.675776863,0.55
-0.005357836,0.380952381
0.714973049,0.714285714
1.506412694,0.6
0.835999275,0.9
0.351428337,0.578947368
0.477225383,0.714285714
0.021172013,0.3
-0.290207802,0.45
-0.173101213,0.238095238
1.713364491,0.619047619
0.531711884,0.75
0.047036009,0.55
-0.012732724,0.523809524
-0.07949719,0.35
0.469561917,0.333333333
0.054707162,0.5
-0.145922839,0.333333333
-0.168308457,0.6
0.153583289,0.5
0.006233809,0.2
-0.116822691,0.523809524
0.062582841,0.15
0.128973947,0.523809524
-0.325048028,0.5
0.001037876,0.523809524
-0.00825085,0.2
-0.031405743,0.428571429
0.027943115,0.473684211
0.198406669,0.619047619
0.5919882,0.7
-0.36419313,0.421052632
0.030833283,0.35
0.251539704,0.571428571
-0.110890835,0.3
-0.069716533,0.714285714
0.151586393,0.473684211
0.092267386,0.380952381
0.441261162,0.45
0.482218637,0.85
0.68444706,0.5
0.262619514,0.571428571
1.998029503,0.55
-0.414327134,0.571428571
0.036407852,0.523809524
1.448125811,0.55
0.263963013,0.428571429
0.179227311,0.45
-0.306692459,0.35
0.612695309,0.5
-0.290395621,0.368421053
-0.100765237,0.315789474
0.236366164,0.666666667
-0.0647428,0.3
1.772452098,0.619047619
-0.017783421,0.4
0.141171905,0.523809524
0.245934684,0.35
